,TIMESTAMP,FORECAST
0,20131101 1:00,0.36045088217511106
1,20131101 2:00,0.3658661080200702
2,20131101 3:00,0.3665507526765265
3,20131101 4:00,0.36097491379009433
4,20131101 5:00,0.3745393669111433
5,20131101 6:00,0.37727404339034704
6,20131101 7:00,0.34082509957548934
7,20131101 8:00,0.2320422457376758
8,20131101 9:00,0.16381364799873707
9,20131101 10:00,0.038047730957956785
10,20131101 11:00,0.0007172485289774905
11,20131101 12:00,0.0478763341720673
12,20131101 13:00,0.06669070895138035
13,20131101 14:00,0.030436532050369516
14,20131101 15:00,-0.020075578642582095
15,20131101 16:00,0.053236116729014904
16,20131101 17:00,0.07582389691009508
17,20131101 18:00,0.09808832011497884
18,20131101 19:00,0.06935754980512232
19,20131101 20:00,-0.01846745175821876
20,20131101 21:00,0.005918055254244756
21,20131101 22:00,0.08096934949724163
22,20131101 23:00,0.14112737393460503
23,20131102 0:00,0.20380363985531968
24,20131102 1:00,0.43230681594135706
25,20131102 2:00,0.4817869909652965
26,20131102 3:00,0.5476398237149891
27,20131102 4:00,0.6204818221846455
28,20131102 5:00,0.6487506452091669
29,20131102 6:00,0.6038505652547643
30,20131102 7:00,0.5435431708128955
31,20131102 8:00,0.5166152879631722
32,20131102 9:00,0.5195394810872085
33,20131102 10:00,0.46907123733847583
34,20131102 11:00,0.41869583414133454
35,20131102 12:00,0.33856691748124834
36,20131102 13:00,0.4741033163226411
37,20131102 14:00,0.5737111948822282
38,20131102 15:00,0.3282227832879374
39,20131102 16:00,0.3781657703585082
40,20131102 17:00,0.48470991179093276
41,20131102 18:00,0.5382175279810477
42,20131102 19:00,0.47776421387572915
43,20131102 20:00,0.40253787830911536
44,20131102 21:00,0.4445585521223427
45,20131102 22:00,0.5230787307946887
46,20131102 23:00,0.5148468826681689
47,20131103 0:00,0.5043833785609753
48,20131103 1:00,0.44809078994327506
49,20131103 2:00,0.45800115168612726
50,20131103 3:00,0.5914702546175639
51,20131103 4:00,0.6239919209811835
52,20131103 5:00,0.6027498843420842
53,20131103 6:00,0.601654646930071
54,20131103 7:00,0.5986502108989924
55,20131103 8:00,0.5944702092974361
56,20131103 9:00,0.5306517753879254
57,20131103 10:00,0.46154963478215744
58,20131103 11:00,0.39565265330740973
59,20131103 12:00,0.5364682949511477
60,20131103 13:00,0.5514593744095175
61,20131103 14:00,0.5903544244266761
62,20131103 15:00,0.6437853970752918
63,20131103 16:00,0.682417005131893
64,20131103 17:00,0.7083299645562751
65,20131103 18:00,0.7293298279321772
66,20131103 19:00,0.7443917861141851
67,20131103 20:00,0.7627975084475553
68,20131103 21:00,0.7975615579927389
69,20131103 22:00,0.8624660010133374
70,20131103 23:00,0.8016701874569054
71,20131104 0:00,0.7100988895490465
72,20131104 1:00,0.6658586031183398
73,20131104 2:00,0.5812205240166546
74,20131104 3:00,0.5107597686327572
75,20131104 4:00,0.43506748421097224
76,20131104 5:00,0.39660596008450866
77,20131104 6:00,0.38806023049222643
78,20131104 7:00,0.38993292212068614
79,20131104 8:00,0.4046562868353744
80,20131104 9:00,0.30462070103369776
81,20131104 10:00,0.3438561688054345
82,20131104 11:00,0.4114236241995028
83,20131104 12:00,0.45505762127406707
84,20131104 13:00,0.4864598215239159
85,20131104 14:00,0.5157612022316351
86,20131104 15:00,0.5378908619649012
87,20131104 16:00,0.5751099174508489
88,20131104 17:00,0.6091935983101282
89,20131104 18:00,0.5986276700626036
90,20131104 19:00,0.5714093425693316
91,20131104 20:00,0.5535159057030903
92,20131104 21:00,0.6259239092521192
93,20131104 22:00,0.6861514009222205
94,20131104 23:00,0.7025054487308684
95,20131105 0:00,0.6163765529921941
96,20131105 1:00,0.4372578303364902
97,20131105 2:00,0.33615168899090986
98,20131105 3:00,0.2618558052072641
99,20131105 4:00,0.2066899112123482
100,20131105 5:00,0.1631908212765592
101,20131105 6:00,0.11362542850706295
102,20131105 7:00,0.09643294083400561
103,20131105 8:00,0.17176799741399018
104,20131105 9:00,0.25502249611484706
105,20131105 10:00,0.3328520673491192
106,20131105 11:00,0.32642127355649275
107,20131105 12:00,0.31884340702317937
108,20131105 13:00,0.32415231667061933
109,20131105 14:00,0.3287090125663634
110,20131105 15:00,0.32981221864479593
111,20131105 16:00,0.31063323020287054
112,20131105 17:00,0.29806941787818875
113,20131105 18:00,0.30863785553821904
114,20131105 19:00,0.3253528993407472
115,20131105 20:00,0.33660310021066103
116,20131105 21:00,0.41616704682170835
117,20131105 22:00,0.42931732368523795
118,20131105 23:00,0.4861736056156974
119,20131106 0:00,0.4839909058096204
120,20131106 1:00,0.38601167599301284
121,20131106 2:00,0.31493735330205735
122,20131106 3:00,0.2658675633727838
123,20131106 4:00,0.2490481159517326
124,20131106 5:00,0.25063428234441004
125,20131106 6:00,0.24601842973424998
126,20131106 7:00,0.23376887429297433
127,20131106 8:00,0.16888680003672563
128,20131106 9:00,0.16938582545060826
129,20131106 10:00,0.14020389382756313
130,20131106 11:00,0.2651276274318219
131,20131106 12:00,0.2450002382764374
132,20131106 13:00,0.37745413380727577
133,20131106 14:00,0.46252006696885734
134,20131106 15:00,0.5008524305447744
135,20131106 16:00,0.47122575274739426
136,20131106 17:00,0.35827176544191985
137,20131106 18:00,0.23316676575041806
138,20131106 19:00,0.18821723933379747
139,20131106 20:00,0.20676255973049673
140,20131106 21:00,0.26600991775164395
141,20131106 22:00,0.14948261720536193
142,20131106 23:00,0.1129720543149137
143,20131107 0:00,0.2500418443338036
144,20131107 1:00,0.3563275134707454
145,20131107 2:00,0.4258889153413497
146,20131107 3:00,0.3366751426395013
147,20131107 4:00,0.4025765779064682
148,20131107 5:00,0.4884645230177754
149,20131107 6:00,0.5974442674541962
150,20131107 7:00,0.7927127714291908
151,20131107 8:00,0.7094868633753657
152,20131107 9:00,0.4142664688695836
153,20131107 10:00,0.13097557386348452
154,20131107 11:00,-0.04547943003581435
155,20131107 12:00,0.3637959131694688
