"TIMESTAMP","FORECAST"
"20131101 1:00",0.371516430229502
"20131101 2:00",0.378526461608806
"20131101 3:00",0.379410329922399
"20131101 4:00",0.372196264288266
"20131101 5:00",0.389683396899629
"20131101 6:00",0.393183062850219
"20131101 7:00",0.345832730791592
"20131101 8:00",0.197936129118112
"20131101 9:00",0.107704853617884
"20131101 10:00",0.0299632380064603
"20131101 11:00",0.034708637718079
"20131101 12:00",0.0285496826088181
"20131101 13:00",0.0289291389613771
"20131101 14:00",0.0314238574912769
"20131101 15:00",0.0297136956651924
"20131101 16:00",0.0281720273612216
"20131101 17:00",0.0310543135913062
"20131101 18:00",0.0419015243661069
"20131101 19:00",0.0294086044501258
"20131101 20:00",0.0303760409696963
"20131101 21:00",0.0348158547353954
"20131101 22:00",0.0328572728210736
"20131101 23:00",0.0810483926963186
"20131102 0:00",0.159549215694451
"20131102 1:00",0.461815633699397
"20131102 2:00",0.521040913707592
"20131102 3:00",0.597841455200763
"20131102 4:00",0.681565792571501
"20131102 5:00",0.713177867305927
"20131102 6:00",0.662625612190416
"20131102 7:00",0.593096434912186
"20131102 8:00",0.561826936207817
"20131102 9:00",0.565230805695783
"20131102 10:00",0.505995908398781
"20131102 11:00",0.445146565737997
"20131102 12:00",0.342850331984416
"20131102 13:00",0.511961968416399
"20131102 14:00",0.627978315479297
"20131102 15:00",0.329120432399024
"20131102 16:00",0.394322359034677
"20131102 17:00",0.524485518752995
"20131102 18:00",0.586923802924156
"20131102 19:00",0.516292109902484
"20131102 20:00",0.425105604613705
"20131102 21:00",0.476666341637096
"20131102 22:00",0.56934751753029
"20131102 23:00",0.55976724564061
"20131103 0:00",0.547559434727551
"20131103 1:00",0.480922680207146
"20131103 2:00",0.492808734229189
"20131103 3:00",0.648429996632046
"20131103 4:00",0.685537424078567
"20131103 5:00",0.661366298120408
"20131103 6:00",0.660112620221554
"20131103 7:00",0.656670679306197
"20131103 8:00",0.651875557558343
"20131103 9:00",0.578145932729889
"20131103 10:00",0.497045667090374
"20131103 11:00",0.416478085172996
"20131103 12:00",0.584895291948765
"20131103 13:00",0.602263178445751
"20131103 14:00",0.64714761686908
"20131103 15:00",0.707697070932783
"20131103 16:00",0.74913420329343
"20131103 17:00",0.774824201095603
"20131103 18:00",0.79393704455004
"20131103 19:00",0.806543530602184
"20131103 20:00",0.820580382528305
"20131103 21:00",0.842777026717897
"20131103 22:00",0.87000277552898
"20131103 23:00",0.845027133694509
"20131104 0:00",0.776498002194731
"20131104 1:00",0.731745785279481
"20131104 2:00",0.636636095835566
"20131104 3:00",0.555003212781091
"20131104 4:00",0.465174171129984
"20131104 5:00",0.417675821203552
"20131104 6:00",0.406901881694516
"20131104 7:00",0.409270023764557
"20131104 8:00",0.427749368800727
"20131104 9:00",0.297406585195912
"20131104 10:00",0.349827258475841
"20131104 11:00",0.43616177827972
"20131104 12:00",0.489286715490566
"20131104 13:00",0.526545503815486
"20131104 14:00",0.56083228492354
"20131104 15:00",0.586545024300424
"20131104 16:00",0.629591878427068
"20131104 17:00",0.668729546649286
"20131104 18:00",0.65664484083209
"20131104 19:00",0.625322064471127
"20131104 20:00",0.604643023408036
"20131104 21:00",0.687718809315681
"20131104 22:00",0.752960585804366
"20131104 23:00",0.769235874114398
"20131105 0:00",0.676908037686925
"20131105 1:00",0.467833713929158
"20131105 2:00",0.339654519885535
"20131105 3:00",0.238940049821317
"20131105 4:00",0.163430801997024
"20131105 5:00",0.106938091547265
"20131105 6:00",0.0537326666204678
"20131105 7:00",0.0408324010437331
"20131105 8:00",0.117635327813927
"20131105 9:00",0.229534896541379
"20131105 10:00",0.335278599246084
"20131105 11:00",0.326718117910371
"20131105 12:00",0.31657842903131
"20131105 13:00",0.323687905591246
"20131105 14:00",0.329768264683078
"20131105 15:00",0.331237250618588
"20131105 16:00",0.305532599673031
"20131105 17:00",0.288519817652735
"20131105 18:00",0.302839148132246
"20131105 19:00",0.325291922965052
"20131105 20:00",0.340252291728394
"20131105 21:00",0.442028642527954
"20131105 22:00",0.458170387874512
"20131105 23:00",0.526208684440303
"20131106 0:00",0.523638625846016
"20131106 1:00",0.404306717376437
"20131106 2:00",0.311330809666465
"20131106 3:00",0.244458379054194
"20131106 4:00",0.221310426785889
"20131106 5:00",0.223493841350568
"20131106 6:00",0.217140705654449
"20131106 7:00",0.200304554399115
"20131106 8:00",0.114010054053482
"20131106 9:00",0.114635749549486
"20131106 10:00",0.0800285200018485
"20131106 11:00",0.24344083175012
"20131106 12:00",0.215739691809776
"20131106 13:00",0.393413226064544
"20131106 14:00",0.498202720716993
"20131106 15:00",0.543430865229807
"20131106 16:00",0.508552366931391
"20131106 17:00",0.368686059418553
"20131106 18:00",0.199478467317784
"20131106 19:00",0.138844239680042
"20131106 20:00",0.163528662374532
